"account_rk","currency_name","department_rk","effective_date","account_in_sum","account_out_sum"
2000536,RUB,60,2023-01-13,0,14838
2000536,RUB,60,2023-01-14,14838,55410
2000536,RUB,60,2023-01-15,55410,55978
2000536,RUB,60,2023-01-16,55978,120240
2000536,RUB,60,2023-01-17,120240,162196
2000536,RUB,60,2023-01-18,162196,171701
2000536,RUB,60,2023-01-19,171701,171825
2000536,RUB,60,2023-01-20,171825,187671
2000536,RUB,60,2023-01-21,187671,210693
2003113,RUB,127,2023-01-08,0,23086
2003113,RUB,127,2023-01-09,23086,42361
2003113,RUB,127,2023-01-10,42361,70870
2003113,RUB,127,2023-01-11,70870,121409
2003113,RUB,127,2023-01-12,121409,195227
2003113,RUB,127,2023-01-13,195227,226302
2003113,RUB,127,2023-01-14,226302,278254
2003113,RUB,127,2023-01-15,278254,303459
2003113,RUB,127,2023-01-16,303459,309342
2003113,RUB,127,2023-01-17,309342,374220
2003113,RUB,127,2023-01-18,374220,425830
2003113,RUB,127,2023-01-19,425830,434894
2003113,RUB,127,2023-01-20,434894,481926
2003113,RUB,127,2023-01-21,481926,554130
2003113,RUB,127,2023-01-22,554130,591629
2003113,RUB,127,2023-01-23,591629,619523
2003113,RUB,127,2023-01-24,619523,654244
2003113,RUB,127,2023-01-25,654244,675118
2003278,EUR,46,2023-01-13,0,2549
2003278,EUR,46,2023-01-14,2549,7007
2003278,EUR,46,2023-01-15,7007,52451
2003278,EUR,46,2023-01-16,52451,79938
2003278,EUR,46,2023-01-17,79938,93334
2003278,EUR,46,2023-01-18,93334,134195
2003278,EUR,46,2023-01-19,134195,195356
2003278,EUR,46,2023-01-20,195356,214830
2003278,EUR,46,2023-01-21,214830,235795
2003703,EUR,55,2023-01-19,0,53525
2003703,EUR,55,2023-01-20,53525,70198
2003703,EUR,55,2023-01-21,70198,88992
2003703,EUR,55,2023-01-22,88992,92437
2003703,EUR,55,2023-01-23,92437,154271
2003703,EUR,55,2023-01-24,154271,218651
2005260,KZT,11,2023-01-21,0,24192
2005260,KZT,11,2023-01-22,24192,28877
2005260,KZT,11,2023-01-23,28877,64512
2005911,RUB,112,2023-01-26,0,7903
2005911,RUB,112,2023-01-27,7903,72538
2005911,RUB,112,2023-01-28,72538,100649
2005911,RUB,112,2023-01-29,100649,156415
2005911,RUB,112,2023-01-30,156415,199465
2005911,RUB,112,2023-01-31,199465,211655
2005911,RUB,112,2023-02-01,211655,222068
2005911,RUB,112,2023-02-02,222068,233226
2005911,RUB,112,2023-02-03,233226,246555
2005911,RUB,112,2023-02-04,246555,266172
