"deal_rk","effective_from_date","effective_to_date","agreement_rk","account_rk","client_rk","department_rk","product_rk","product_name","deal_type_cd","deal_start_date","deal_name","deal_num","deal_sum","loan_holiday_type_cd","loan_holiday_start_date","loan_holiday_finish_date","loan_holiday_fact_finish_date","loan_holiday_finish_flg","loan_holiday_last_possible_date"
4719921,2023-01-01,2999-12-31,781995,3943927,150558,85,1394715,Кредит наличными,"1",2021-01-11,Кредит наличными,"995-643-233-674-210",3299673,"3",2023-01-01,,,false,2018-05-27
3882968,2023-01-01,2999-12-31,767136,3817401,134705,54,1319723,Ипотека,"6",2022-01-06,Ипотека,"571-852-274-225-870",4648425,"2",2023-01-01,,,false,2018-05-07
3038873,2023-01-01,2999-12-31,797001,3248569,240323,52,1099892,Ипотека,"6",2022-01-06,Ипотека,"898-671-162-271-562",1792560,"2",2023-01-01,,,false,2018-06-25
3941853,2023-01-01,2999-12-31,551579,3525059,180208,23,1675148,Кредит наличными,"6",2021-07-10,Кредит наличными,"523-570-703-385-801",1960093,"2",2023-01-01,,,false,2018-06-18
2345184,2023-01-01,2999-12-31,557911,3800453,298101,83,1621281,Ипотека,"3",2021-07-10,Ипотека,"853-920-638-835-516",3322568,"1",2023-01-01,,,false,2019-08-20
7357746,2023-01-01,2999-12-31,759662,3285717,488211,34,1501933,Ипотека,"5",2022-01-06,Ипотека,"201-163-676-586-358",5648848,"7",2023-01-01,,,false,2018-03-11
8781435,2023-01-01,2999-12-31,626019,3292019,394505,47,1352301,Ипотека,"4",2020-01-17,Ипотека,"499-833-789-683-338",4630454,"8",2023-01-01,,,false,2018-01-28
5124964,2023-01-01,2999-12-31,691034,3073572,171316,75,1130070,Кредит наличными,"2",2021-01-11,Кредит наличными,"306-351-278-897-209",2403607,"4",2023-01-01,,,false,2019-04-25
2350595,2023-01-01,2999-12-31,939622,3844537,109969,108,1777525,Кредит наличными со страховкой,"3",2021-01-11,Кредит наличными со страховкой,"748-185-526-193-240",3368545,"1",2023-01-01,,,false,2019-04-07
3102198,2023-01-01,2999-12-31,692811,3320293,182075,26,1625188,Ипотека,"6",2021-01-11,Ипотека,"560-561-246-241-692",5311000,"2",2023-01-01,,,false,2018-08-18
5861071,2023-01-01,2999-12-31,525737,3364422,256110,86,1472977,Кредит наличными,"2",2020-01-17,Кредит наличными,"101-819-911-562-891",5681333,"4",2023-01-01,,,false,2018-12-29
6749398,2023-01-01,2999-12-31,704201,3145024,124927,110,1673870,Автокредит,"8",2022-01-06,Автокредит,"502-516-128-145-770",2721317,"5",2023-01-01,,,false,2019-08-04
8671573,2023-01-01,2999-12-31,718028,3730720,423826,130,1180567,Автокредит,"4",2021-01-11,Автокредит,"691-267-194-274-421",1332949,"8",2023-01-01,,,false,2018-03-13
2915336,2023-01-01,2999-12-31,857582,3241253,227797,109,1771664,Кредит наличными,"3",2021-07-10,Кредит наличными,"598-454-123-948-301",1221177,"1",2023-01-01,,,false,2018-07-12
3252554,2023-01-01,2999-12-31,549566,3430603,133202,63,1158017,Автокредит,"6",2020-01-17,Автокредит,"400-839-323-217-235",5083383,"2",2023-01-01,,,false,2019-07-22
2362507,2023-01-01,2999-12-31,670118,3624645,275612,100,1824781,Автокредит,"3",2020-01-17,Автокредит,"511-853-207-330-487",1078305,"1",2023-01-01,,,false,2018-07-01
6001363,2023-01-01,2999-12-31,677533,3783809,246004,106,1107822,Автокредит,"8",2021-01-11,Автокредит,"359-498-219-941-497",4370551,"5",2023-01-01,,,false,2019-05-02
5514001,2023-01-01,2999-12-31,888375,3740888,394867,85,1972953,Кредит наличными,"2",2020-01-17,Кредит наличными,"903-500-469-276-322",2735674,"4",2023-01-01,,,false,2019-04-04
