deal_rk,deal_num,deal_name,deal_sum,client_rk,account_rk,agreement_rk,deal_start_date,department_rk,product_rk,deal_type_cd,effective_from_date,effective_to_date
4719921,995-643-233-674-210,Кредит наличными,3299673.0,150558,3943927,781995,2021-01-11,85,1394715,1,2023-01-01,2999-12-31
3882968,571-852-274-225-870,Ипотека,4648425.0,134705,3817401,767136,2022-01-06,54,1319723,6,2023-01-01,2999-12-31
3038873,898-671-162-271-562,Ипотека,1792560.0,240323,3248569,797001,2022-01-06,52,1099892,6,2023-01-01,2999-12-31
3941853,523-570-703-385-801,Кредит наличными,1960093.0,180208,3525059,551579,2021-07-10,23,1675148,6,2023-01-01,2999-12-31
2345184,853-920-638-835-516,Ипотека,3322568.0,298101,3800453,557911,2021-07-10,83,1621281,3,2023-01-01,2999-12-31
7357746,201-163-676-586-358,Ипотека,5648848.0,488211,3285717,759662,2022-01-06,34,1501933,5,2023-01-01,2999-12-31
8781435,499-833-789-683-338,Ипотека,4630454.0,394505,3292019,626019,2020-01-17,47,1352301,4,2023-01-01,2999-12-31
5124964,306-351-278-897-209,Кредит наличными,2403607.0,171316,3073572,691034,2021-01-11,75,1130070,2,2023-01-01,2999-12-31
2350595,748-185-526-193-240,Кредит наличными со страховкой,3368545.0,109969,3844537,939622,2021-01-11,108,1777525,3,2023-01-01,2999-12-31
3102198,560-561-246-241-692,Ипотека,5311000.0,182075,3320293,692811,2021-01-11,26,1625188,6,2023-01-01,2999-12-31
5861071,101-819-911-562-891,Кредит наличными,5681333.0,256110,3364422,525737,2020-01-17,86,1472977,2,2023-01-01,2999-12-31
6749398,502-516-128-145-770,Автокредит,2721317.0,124927,3145024,704201,2022-01-06,110,1673870,8,2023-01-01,2999-12-31
8671573,691-267-194-274-421,Автокредит,1332949.0,423826,3730720,718028,2021-01-11,130,1180567,4,2023-01-01,2999-12-31
2915336,598-454-123-948-301,Кредит наличными,1221177.0,227797,3241253,857582,2021-07-10,109,1771664,3,2023-01-01,2999-12-31
3252554,400-839-323-217-235,Автокредит,5083383.0,133202,3430603,549566,2020-01-17,63,1158017,6,2023-01-01,2999-12-31
2362507,511-853-207-330-487,Автокредит,1078305.0,275612,3624645,670118,2020-01-17,100,1824781,3,2023-01-01,2999-12-31
6001363,359-498-219-941-497,Автокредит,4370551.0,246004,3783809,677533,2021-01-11,106,1107822,8,2023-01-01,2999-12-31
5514001,903-500-469-276-322,Кредит наличными,2735674.0,394867,3740888,888375,2020-01-17,85,1972953,2,2023-01-01,2999-12-31
8412678,117-583-755-974-210,Ипотека,5359582.0,216815,3070732,937997,2021-07-10,107,1629976,4,2023-01-01,2999-12-31
8198917,544-184-865-525-593,Кредит наличными со страховкой,2160780.0,277024,3607466,566281,2020-07-15,125,1851268,4,2023-01-01,2999-12-31
7647602,916-848-468-163-350,Автокредит,2695904.0,495229,3715064,793158,2022-01-06,22,1678036,5,2023-01-01,2999-12-31
6859207,494-323-636-644-321,Кредит наличными,2770220.0,486678,3312377,526012,2021-01-11,113,1872835,8,2023-01-01,2999-12-31
3410678,217-540-659-347-322,Кредит наличными со страховкой,1447959.0,207376,3312394,881679,2021-01-11,30,1395619,6,2023-01-01,2999-12-31
6709393,621-694-256-858-419,Кредит наличными со страховкой,3443136.0,393685,3485428,500091,2020-07-15,42,1030104,8,2023-01-01,2999-12-31
6705842,682-622-146-172-534,Ипотека,2578884.0,194749,3802640,740984,2022-01-06,48,1402350,8,2023-01-01,2999-12-31
2971545,759-896-465-732-253,Кредит наличными,5043264.0,136112,3453979,791157,2020-07-15,109,1816970,3,2023-01-01,2999-12-31
6791157,546-898-923-760-851,Автокредит,2464165.0,261928,3096278,566239,2021-07-10,80,1187918,8,2023-01-01,2999-12-31
6169310,415-673-469-953-980,Автокредит,2786221.0,173166,3130566,664002,2022-01-06,19,1599801,8,2023-01-01,2999-12-31
2960910,389-315-805-628-185,Ипотека,3570957.0,293961,3332635,595506,2020-07-15,56,1183424,3,2023-01-01,2999-12-31
7565408,306-496-637-613-716,Ипотека,4617368.0,478491,3228099,731517,2021-07-10,98,1352420,5,2023-01-01,2999-12-31
2679385,187-675-457-746-135,Кредит наличными,3386702.0,156952,3101930,586757,2020-01-17,105,1210127,3,2023-01-01,2999-12-31
6783621,288-351-886-765-133,Ипотека,5647790.0,170979,3876277,589449,2020-01-17,105,1982316,8,2023-01-01,2999-12-31
8398018,347-634-911-449-982,Кредит наличными,4178661.0,495865,3041407,861782,2022-01-06,76,1457013,4,2023-01-01,2999-12-31
8772562,693-348-896-611-772,Кредит наличными,3156210.0,180271,3926145,952442,2020-01-17,71,1686580,4,2023-01-01,2999-12-31
