deal_rk,loan_holiday_type_cd,loan_holiday_start_date,loan_holiday_finish_date,loan_holiday_fact_finish_date,loan_holiday_finish_flg,loan_holiday_last_possible_date,effective_from_date,effective_to_date
4719921,3,2023-01-01,,,False,2018-05-27,2023-01-01,2999-12-31
3882968,2,2023-01-01,,,False,2018-05-07,2023-01-01,2999-12-31
3038873,2,2023-01-01,,,False,2018-06-25,2023-01-01,2999-12-31
3941853,2,2023-01-01,,,False,2018-06-18,2023-01-01,2999-12-31
2345184,1,2023-01-01,,,False,2019-08-20,2023-01-01,2999-12-31
7357746,7,2023-01-01,,,False,2018-03-11,2023-01-01,2999-12-31
8781435,8,2023-01-01,,,False,2018-01-28,2023-01-01,2999-12-31
5124964,4,2023-01-01,,,False,2019-04-25,2023-01-01,2999-12-31
2350595,1,2023-01-01,,,False,2019-04-07,2023-01-01,2999-12-31
3102198,2,2023-01-01,,,False,2018-08-18,2023-01-01,2999-12-31
5861071,4,2023-01-01,,,False,2018-12-29,2023-01-01,2999-12-31
6749398,5,2023-01-01,,,False,2019-08-04,2023-01-01,2999-12-31
8671573,8,2023-01-01,,,False,2018-03-13,2023-01-01,2999-12-31
2915336,1,2023-01-01,,,False,2018-07-12,2023-01-01,2999-12-31
3252554,2,2023-01-01,,,False,2019-07-22,2023-01-01,2999-12-31
2362507,1,2023-01-01,,,False,2018-07-01,2023-01-01,2999-12-31
6001363,5,2023-01-01,,,False,2019-05-02,2023-01-01,2999-12-31
5514001,4,2023-01-01,,,False,2019-04-04,2023-01-01,2999-12-31
8412678,8,2023-01-01,,,False,2018-10-02,2023-01-01,2999-12-31
8198917,8,2023-01-01,,,False,2019-11-28,2023-01-01,2999-12-31
7647602,7,2023-01-01,,,False,2019-06-11,2023-01-01,2999-12-31
6859207,5,2023-01-01,,,False,2019-11-12,2023-01-01,2999-12-31
3410678,2,2023-01-01,,,False,2018-10-24,2023-01-01,2999-12-31
6709393,5,2023-01-01,,,False,2018-06-02,2023-01-01,2999-12-31
6705842,5,2023-01-01,,,False,2018-07-28,2023-01-01,2999-12-31
2971545,1,2023-01-01,,,False,2019-02-22,2023-01-01,2999-12-31
6791157,5,2023-01-01,,,False,2019-06-29,2023-01-01,2999-12-31
6169310,5,2023-01-01,,,False,2019-03-10,2023-01-01,2999-12-31
2960910,1,2023-01-01,,,False,2019-05-02,2023-01-01,2999-12-31
7565408,7,2023-01-01,,,False,2019-04-27,2023-01-01,2999-12-31
2679385,1,2023-01-01,,,False,2019-12-27,2023-01-01,2999-12-31
6783621,5,2023-01-01,,,False,2018-02-24,2023-01-01,2999-12-31
8398018,8,2023-01-01,,,False,2019-04-26,2023-01-01,2999-12-31
8772562,8,2023-01-01,,,False,2019-09-09,2023-01-01,2999-12-31
7244918,7,2023-01-01,,,False,2019-04-03,2023-01-01,2999-12-31
8345514,8,2023-01-01,,,False,2018-09-03,2023-01-01,2999-12-31
3131676,2,2023-01-01,,,False,2018-05-09,2023-01-01,2999-12-31
2908927,1,2023-01-01,,,False,2018-01-30,2023-01-01,2999-12-31
2523227,1,2023-01-01,,,False,2019-09-15,2023-01-01,2999-12-31
8202178,8,2023-01-01,,,False,2019-05-10,2023-01-01,2999-12-31
4221147,3,2023-01-01,,,False,2019-03-25,2023-01-01,2999-12-31
2552506,1,2023-01-01,,,False,2020-01-15,2023-01-01,2999-12-31
5181555,4,2023-01-01,,,False,2019-03-27,2023-01-01,2999-12-31
3741361,2,2023-01-01,,,False,2018-04-17,2023-01-01,2999-12-31
8994052,8,2023-01-01,,,False,2018-03-12,2023-01-01,2999-12-31
7802949,7,2023-01-01,,,False,2018-07-25,2023-01-01,2999-12-31
3949493,2,2023-01-01,,,False,2018-10-10,2023-01-01,2999-12-31
7202728,7,2023-01-01,,,False,2018-09-04,2023-01-01,2999-12-31
6645479,5,2023-01-01,,,False,2018-11-12,2023-01-01,2999-12-31
4826852,3,2023-01-01,,,False,2018-03-21,2023-01-01,2999-12-31
8359556,8,2023-01-01,,,False,2018-10-11,2023-01-01,2999-12-31
